Country,Type,OS,year,month,date type,Rank,Change,Industry,subcategory,App,Publisher,Price,Inapp,Date,CRScore,URL(Address)
JP,FREE,AND,2019,1,M,1,+6,,Lifestyle,セブン-イレブンアプリ,株式会社セブン-イレブン・ジャパン,0.0,,2020-06-23,166431,https://play.google.com/store/apps/details?id=jp.co.sej.app
JP,FREE,AND,2019,1,M,2,+3,,News & Magazines,スマートニュース - 無料でニュースや天気・エンタメ・クーポン情報をお届け,"SmartNews, Inc.",0.0,,2020-07-09,126128,https://play.google.com/store/apps/details?id=jp.gocro.smartnews.android
JP,FREE,AND,2019,1,M,3,+1,,Communication,LINE（ライン） - 無料通話・メールアプリ,LINE Corporation,0.0,"￥108～￥17,000/アイテム",2020-07-16,111862,https://play.google.com/store/apps/details?id=jp.naver.line.android
JP,FREE,AND,2019,1,M,4,+38,,News & Magazines,ニュースパス　かんたん操作で無料ニュースがすぐ読める,KDDI株式会社&Gunosy Inc.,0.0,,2020-07-15,108114,https://play.google.com/store/apps/details?id=com.kddi.android.newspass
JP,FREE,AND,2019,1,M,5,-4,,Music & Audio,YouTube Music - 公式楽曲から最新 MV まで楽しめる音楽アプリ,Google LLC,0.0,,2020-07-16,72007,https://play.google.com/store/apps/details?id=com.google.android.apps.youtube.music
JP,FREE,AND,2019,1,M,6,+4,,Video Players & Editors,TikTok,TikTok Pte. Ltd.,0.0,"￥110～￥11,600/アイテム",2020-07-08,70548,https://play.google.com/store/apps/details?id=com.ss.android.ugc.trill
JP,FREE,AND,2019,1,M,7,+43,,Entertainment,そっくりさん - AIが似てる有名人を診断,App Factory Inc.,0.0,"￥980～￥4,700/アイテム",2020-07-15,58362,https://play.google.com/store/apps/details?id=jp.co.appfactory.birdun
JP,FREE,AND,2019,1,M,8,+12,,News & Magazines,Twitter,"Twitter, Inc.",0.0,,2020-07-20,56946,https://play.google.com/store/apps/details?id=com.twitter.android
JP,FREE,AND,2019,1,M,9,+6,,News & Magazines,Yahoo! JAPAN,Yahoo Japan Corp.,0.0,,2020-07-20,45005,https://play.google.com/store/apps/details?id=jp.co.yahoo.android.yjtop
JP,FREE,AND,2019,1,M,10,+9,,Social,Instagram,Instagram,0.0,￥110～￥540/アイテム,2020-07-20,33783,https://play.google.com/store/apps/details?id=com.instagram.android
JP,FREE,AND,2019,1,M,11,-8,,Action,ブロスタ,Supercell,0.0,"￥120～￥12,000/アイテム",2020-07-08,29839,https://play.google.com/store/apps/details?id=com.supercell.brawlstars
JP,FREE,AND,2019,1,M,12,-6,,Tools,おサイフケータイ アプリ,"FeliCa Networks, Inc.",0.0,,2020-03-23,29215,https://play.google.com/store/apps/details?id=com.felicanetworks.mfm.main
JP,FREE,AND,2019,1,M,13,-2,,Shopping,ｄポイントクラブ,NTT DOCOMO,0.0,,2020-07-03,28490,https://play.google.com/store/apps/details?id=com.nttdocomo.android.dpoint
JP,FREE,AND,2019,1,M,14,-,,Tools,QRコードリーダー,TWMobile,0.0,,2020-06-15,27834,https://play.google.com/store/apps/details?id=tw.mobileapp.qrcode.banner
JP,FREE,AND,2019,1,M,15,+12,,Video Players & Editors,ABEMA(アベマ),"AbemaTV, Inc.",0.0,"￥100～￥48,000/アイテム",2020-07-20,21983,https://play.google.com/store/apps/details?id=tv.abema
JP,FREE,AND,2019,1,M,16,-,,Shopping,Amazon ショッピングアプリ,Amazon Mobile LLC,0.0,,2020-07-13,20394,https://play.google.com/store/apps/details?id=com.amazon.mShop.android.shopping
JP,FREE,AND,2019,1,M,17,-,,Shopping,メルカリ(メルペイ)-フリマアプリ&スマホ決済,"Mercari, Inc.",0.0,,2020-07-21,19455,https://play.google.com/store/apps/details?id=com.kouzoh.mercari
JP,FREE,AND,2019,1,M,18,-6,,Entertainment,GYAO! - 無料動画アプリ,Yahoo Japan Corp.,0.0,,2020-07-13,18881,https://play.google.com/store/apps/details?id=jp.co.yahoo.gyao.android.app
JP,FREE,AND,2019,1,M,19,+4,,Entertainment,Google Play ゲーム,Google LLC,0.0,,2020-07-08,14958,https://play.google.com/store/apps/details?id=com.google.android.play.games
JP,FREE,AND,2019,1,M,20,+6,,Entertainment,TVer（ティーバー）- 民放公式テレビポータル - 無料で動画見放題,PRESENTCAST INC.,0.0,,2020-05-28,13543,https://play.google.com/store/apps/details?id=jp.hamitv.hamiand1
JP,FREE,AND,2019,1,M,21,+98,,Music & Audio,YY Music - FM連続再生｜ギガ超節約、音楽ビデオ・無料音楽・ミュージックを無料で聴き放題,YY Free Music,0.0,,2020-07-09,13513,https://play.google.com/store/apps/details?id=com.gugu.music
JP,FREE,AND,2019,1,M,22,-14,,Entertainment,ZEPETO,Naver Z Corporation,0.0,"￥100～￥9,900/アイテム",2020-07-16,13031,https://play.google.com/store/apps/details?id=me.zepeto.main
JP,FREE,AND,2019,1,M,23,+13,,Puzzle,Happy Glass,Lion Studios,0.0,"￥110～￥11,200/アイテム",2020-06-19,12846,https://play.google.com/store/apps/details?id=com.game5mobile.lineandwater
JP,FREE,AND,2019,1,M,24,-2,,Food & Drink,マクドナルド,日本マクドナルド株式会社,0.0,,2020-06-23,12319,https://play.google.com/store/apps/details?id=jp.co.mcdonalds.android
JP,FREE,AND,2019,1,M,25,+57,,Casual,ゆる～いゲゲゲの鬼太郎 妖怪ドタバタ大戦争,東映アニメーション株式会社,0.0,"￥120～￥10,000/アイテム",2020-07-16,12040,https://play.google.com/store/apps/details?id=com.yurukita.game
JP,FREE,AND,2019,1,M,26,+8,,Music & Audio,Spotify: 音楽のストリーミング。新しいアーティスト、プレイリスト、ポッドキャストを発見。,Spotify Ltd.,0.0,,2020-07-15,11998,https://play.google.com/store/apps/details?id=com.spotify.music
JP,FREE,AND,2019,1,M,27,+66,,Strategy,マフィア・シティ-極道風雲,YottaGames,0.0,"￥99～￥12,000/アイテム",2020-07-14,11760,https://play.google.com/store/apps/details?id=com.yottagames.mafiawar
