"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","SkyView® Explore the Universe","Terminal Eleven","$1.99","","2019-12-03","299375","https://play.google.com/store/apps/details?id=com.t11.skyview"
"2","-","Education","CE5 Contact","Sirius Technology Advanced Research","$9.99","","2020-06-22","103028","https://play.google.com/store/apps/details?id=com.star.ce5contact"
"3","+1","Education","Toca Life: Hospital","Toca Boca","$3.99","","2018-06-12","97994","https://play.google.com/store/apps/details?id=com.tocaboca.tocahospital"
"4","+1","Education","Stellarium Mobile PLUS - Star Map","Noctua Software","$9.99","","2020-07-12","86106","https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium_plus"
"5","-2","Education","Toca Lab: Elements","Toca Boca","$3.99","","2017-06-01","85206","https://play.google.com/store/apps/details?id=com.tocaboca.tocalab"
"6","+1","Education","Star Walk 2 - Night Sky View and Stargazing Guide","Vito Technology","$2.99","$0.99 - $2.99 per item","2020-05-05","50078","https://play.google.com/store/apps/details?id=com.vitotechnology.StarWalk2"
"7","+1","Education","Toca Pet Doctor","Toca Boca","$3.99","","2017-09-19","45132","https://play.google.com/store/apps/details?id=com.tocaboca.tocapetdoctor"
"8","-2","Education","Toca Hair Salon 3","Toca Boca","$3.99","","2019-03-06","39393","https://play.google.com/store/apps/details?id=com.tocaboca.tocahairsalon3"
"9","-","Education","Toca Life: Town","Toca Boca","$3.99","","2018-07-06","36804","https://play.google.com/store/apps/details?id=com.tocaboca.tocatown"
"10","+1","Education","Toca Life: Vacation","Toca Boca","$3.99","","2018-06-21","34500","https://play.google.com/store/apps/details?id=com.tocaboca.tocavacation"
"11","-1","Education","Toca Life: Office","Toca Boca","$3.99","","2020-06-02","32453","https://play.google.com/store/apps/details?id=com.tocaboca.tocaoffice"
"12","-","Education","Toca Life: Neighborhood","Toca Boca","$3.99","","2018-11-15","31570","https://play.google.com/store/apps/details?id=com.tocaboca.tocaneighborhood"
"13","+3","Education","Toca Life: School","Toca Boca","$3.99","","2018-07-06","22508","https://play.google.com/store/apps/details?id=com.tocaboca.tocaschool"
"14","-","Education","Toca Life: Stable","Toca Boca","$3.99","","2018-07-06","22036","https://play.google.com/store/apps/details?id=com.tocaboca.tocastable"
"15","+45","Education","Flat Earth Sun, Moon & Zodiac Clock","Blue Water Bay Association Pay","$2.99","$0.99 - $10.99 per item","2020-04-27","19904","https://play.google.com/store/apps/details?id=com.flatearthsun"
"16","+1","Education","Toca Life: Pets","Toca Boca","$3.99","","2018-07-06","19867","https://play.google.com/store/apps/details?id=com.tocaboca.tocapets"
"17","-4","Education","PDG PROmote 2019-2021","ForceReadiness.com","$29.99","","2020-01-28","19425","https://play.google.com/store/apps/details?id=com.forcereadiness.pdgpromote"
"18","+45","Education","California Firearms Test","AlphaSquared Technologies Inc","$1.99","","2020-04-15","16933","https://play.google.com/store/apps/details?id=com.alphasquaredtechnologies.calfsc"
"19","+3","Education","HamStudy.org","Signal Stuff","$3.99","","2020-07-02","16439","https://play.google.com/store/apps/details?id=org.hamstudy.mobile"
"20","-2","Education","Stellarium Mobile Sky Map","Noctua Software","$3.49","","2020-07-14","16417","https://play.google.com/store/apps/details?id=com.noctuasoftware.stellarium"
"21","-2","Education","Toca Life: After School","Toca Boca","$3.99","","2018-06-21","15739","https://play.google.com/store/apps/details?id=com.tocaboca.tocaafterschool"
"22","-2","Education","Toca Life: Farm","Toca Boca","$3.99","","2018-07-06","14421","https://play.google.com/store/apps/details?id=com.tocaboca.tocalifefarm"
"23","+2","Education","PROmote - Army Study Guide","ForceReadiness.com","$5.99","","2020-06-15","13571","https://play.google.com/store/apps/details?id=com.forcereadiness.armypromote"
"24","-9","Education","FlowerChecker+, plant identify","Thran","$0.99","$0.99 - $14.99 per item","2020-04-10","13422","https://play.google.com/store/apps/details?id=cz.thran.flowercheckerplus"
"25","-1","Education","Daniel Tiger's Day & Night","PBS KIDS","$2.99","","2020-07-08","13208","https://play.google.com/store/apps/details?id=com.pbs.danieltiger_day_and_night_android"
"26","+4","Education","Toca Builders","Toca Boca","$3.99","","2017-07-13","12956","https://play.google.com/store/apps/details?id=com.tocaboca.tocabuild"
"27","+2","Education","Toca Kitchen Sushi Restaurant","Toca Boca","$3.99","","2019-09-19","12036","https://play.google.com/store/apps/details?id=com.tocaboca.tocakitchensushi"
"28","+3","Education","Toca Life: City","Toca Boca","$3.99","","2018-07-06","11121","https://play.google.com/store/apps/details?id=com.tocaboca.tocacity"
"29","-3","Education","Stack the States®","Dan Russell-Pinson","$2.99","","2018-11-24","10337","https://play.google.com/store/apps/details?id=com.freecloud.StackTheStates"
"30","-3","Education","BirdGenie: ID Birds by Song","Princeton University Press","$3.99","","2018-11-19","10262","https://play.google.com/store/apps/details?id=com.birdentifier.BirdGenie"
"31","+8","Education","Official ITIL 4 Foundation App","TSO (The Stationery Office)","$8.49","","2020-02-20","9970","https://play.google.com/store/apps/details?id=uk.co.tso.itilfourfoundation"
"32","-9","Education","Graphing Calculator Plus (X84)","Inception Mobile.","$3.99","","2020-04-21","9968","https://play.google.com/store/apps/details?id=com.incptmobis.calculatorplus"
"33","-1","Education","Mobile Observatory 3 Pro - Astronomy","Wolfgang Zima","$7.49","$0.99 - $17.99 per item","2020-07-10","9556","https://play.google.com/store/apps/details?id=com.zima.mobileobservatorypro"
"34","+1","Education","Toca Mini","Toca Boca","$3.99","","2019-09-19","8703","https://play.google.com/store/apps/details?id=com.tocaboca.tocamini"
"35","-1","Education","Monkey Preschool Lunchbox","THUP Games","$1.99","","2019-08-06","8483","https://play.google.com/store/apps/details?id=com.thup.lunchbox"
"36","+2","Education","Heavens-Above Pro","Heavens-Above","$4.99","","2020-07-21","8449","https://play.google.com/store/apps/details?id=com.heavens_above.viewer_pro"
"37","+5","Education","ExamFX Life & Health Exam Prep","ExamFX","$4.99","","2019-10-02","8189","https://play.google.com/store/apps/details?id=com.ascendlearning.examfx.lifehealth"
"38","-2","Education","Toca Nature","Toca Boca","$3.99","","2019-09-19","8172","https://play.google.com/store/apps/details?id=com.tocaboca.tocanature"
"39","+5","Education","EPA 608 Practice","AHDS","$9.99","","2020-05-10","8056","https://play.google.com/store/apps/details?id=com.afterhoursds.practice608"
"40","-7","Education","Sago Mini Babies","Sago Mini","$3.99","","2016-10-28","7810","https://play.google.com/store/apps/details?id=com.sagosago.Babies.googleplay"
"41","+15","Education","Prepware General","Aviation Supplies & Academics","$4.99","","2020-04-20","7361","https://play.google.com/store/apps/details?id=com.asa2fly.prepware.general"
"42","+8","Education","Sky Guide","alcyone software","$2.99","","2015-09-21","7296","https://play.google.com/store/apps/details?id=de.alcyone.livestarchartpro"
"43","-22","Education","XtraMath","XtraMath","$4.99","","2020-01-18","7188","https://play.google.com/store/apps/details?id=org.xtramath.mathfacts"
