"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Education","Toca Hair Salon 3","Toca Boca AB","$3.99","","2016-12-07","225207","https://itunes.apple.com/US/app/id1119482395"
"2","-","Education","SkyView®","Terminal Eleven LLC","$1.99","","2010-12-10","78665","https://itunes.apple.com/US/app/id404990064"
"3","-","Education","Toca Kitchen 2","Toca Boca AB","$3.99","","2014-12-18","50064","https://itunes.apple.com/US/app/id943869618"
"4","-","Education","AnkiMobile Flashcards","Ankitects Pty Ltd","$24.99","","2010-05-26","42400","https://itunes.apple.com/US/app/id373493387"
"5","+2","Education","Graphing Calculator Plus","Incpt.Mobis","$4.99","","2017-10-01","38589","https://itunes.apple.com/US/app/id1279565050"
"6","-","Education","Star Walk 2 - Night Sky Map","Vito Technology Inc.","$2.99","Satellite Finder in Sky Above : $0.99 / Constellations 3D on Sky Map : $0.99 / Star Tracker AR: Full Version : $2.99","2014-08-20","32511","https://itunes.apple.com/US/app/id892279069"
"7","-2","Education","XtraMath","XtraMath","$4.99","","2014-06-08","17927","https://itunes.apple.com/US/app/id882931712"
"8","+3","Education","PDG PROmote 2019-2021","ForceReadiness.com","$29.99","","2011-11-22","16428","https://itunes.apple.com/US/app/id482303584"
"9","+1","Education","Stack the States®","Freecloud Design, Inc.","$2.99","","2016-08-10","15896","https://itunes.apple.com/US/app/id381342267"
"10","-2","Education","Toca Life: Neighborhood","Toca Boca AB","$3.99","","2018-10-24","15491","https://itunes.apple.com/US/app/id1436855888"
"11","-2","Education","Toca Life: Hospital","Toca Boca AB","$3.99","","2017-04-12","10445","https://itunes.apple.com/US/app/id1156114278"
"12","new","Education","My City : Boat Adventures","My Town Games LTD","$2.99","","2020-01-30","7268","https://itunes.apple.com/US/app/id1482088595"
"13","-1","Education","iScore5 APHG","iScore5app, LLC","$4.99","","2019-10-05","6840","https://itunes.apple.com/US/app/id1482339363"
"14","new","Education","My City : Wedding Party","My Town Games LTD","$2.99","","2020-02-20","5999","https://itunes.apple.com/US/app/id1482088567"
"15","-","Education","PROmote - Army Study Guide","ForceReadiness.com","$5.99","","2011-05-07","5400","https://itunes.apple.com/US/app/id435352951"
"16","new","Education","Times Tales: Multiplication","Trigger Memory Co","$5.99","","2018-01-09","5398","https://itunes.apple.com/US/app/id1332576045"
"17","+1","Education","Universal Zoom","GamifyIt","$3.99","","2019-01-28","5001","https://itunes.apple.com/US/app/id807673066"
"18","-5","Education","Toca Life: Vacation","Toca Boca AB","$3.99","","2016-06-15","4924","https://itunes.apple.com/US/app/id1114886979"
"19","new","Education","Toca Hair Salon 2","Toca Boca AB","$3.99","","2012-12-13","3894","https://itunes.apple.com/US/app/id569632660"
"20","-4","Education","Vocabulary.com","Vocabulary.com","$2.99","","2014-03-18","2903","https://itunes.apple.com/US/app/id815218412"
"21","new","Education","Toca Life: Office","Toca Boca AB","$3.99","","2017-09-20","1365","https://itunes.apple.com/US/app/id1271722569"
"22","-2","Education","GraphNCalc83","Ernest Brock","0","","2019-10-21","1278","https://itunes.apple.com/US/app/id744882019"
"23","-9","Education","Teach Your Monster to Read","Teach Monster Games Ltd.","$4.99","","2014-07-23","1052","https://itunes.apple.com/US/app/id828392046"
"24","-5","Education","Prepware Aviation Maintenance","ASA","$9.99","","2009-11-24","952","https://itunes.apple.com/US/app/id338893931"
