"Rank","Change","Category","App","Publisher","Price","Inapp","Date","CRScore","URL(Address)"
"1","-","Arcade","Minecraft","Mojang","$6.99","$0.99 - $49.99 per item","2020-07-16","320000","https://play.google.com/store/apps/details?id=com.mojang.minecraftpe"
"2","+1","Strategy","Bloons TD 6","ninja kiwi","$4.99","$0.99 - $54.99 per item","2020-07-13","114359","https://play.google.com/store/apps/details?id=com.ninjakiwi.bloonstd6"
"3","+2","Role Playing","Stardew Valley","Chucklefish Limited","$7.99","","2020-03-23","95941","https://play.google.com/store/apps/details?id=com.chucklefish.stardewvalley"
"4","-","Arcade","Geometry Dash","RobTop Games","$1.99","","2017-11-15","73916","https://play.google.com/store/apps/details?id=com.robtopx.geometryjump"
"5","+1","Productivity","HotSchedules","HotSchedules","$2.99","","2020-07-16","54379","https://play.google.com/store/apps/details?id=com.tdr3.hs.android"
"6","+8","Puzzle","Human: Fall Flat","505 Games Srl","$4.99","","2020-05-06","53512","https://play.google.com/store/apps/details?id=com.and.games505.humanfallflat"
"7","-5","Role Playing","Evertale","ZigZaGame Inc.","$0.99","$0.99 - $79.99 per item","2020-07-02","52472","https://play.google.com/store/apps/details?id=com.zigzagame.evertale"
"8","-1","Action","Grand Theft Auto: San Andreas","Rockstar Games","$6.99","","2019-04-13","43532","https://play.google.com/store/apps/details?id=com.rockstargames.gtasa"
"9","-1","Board","The Game of Life","Marmalade Game Studio","$2.99","$0.99 - $19.99 per item","2019-06-19","37931","https://play.google.com/store/apps/details?id=com.marmalade.golmobile"
"10","-","Adventure","Terraria","505 Games Srl","$4.99","","2020-04-28","32817","https://play.google.com/store/apps/details?id=com.and.games505.TerrariaPaid"
"11","new","Entertainment","Dokk OS 2","beadybiddle","$0.99","","2019-08-07","24977","https://play.google.com/store/apps/details?id=com.printedpropshop.dokkos2"
"12","+1","Communication","Torque Pro (OBD 2 & Car)","Ian Hawkins","$4.95","","2019-11-15","24512","https://play.google.com/store/apps/details?id=org.prowl.torque"
"13","+7","Simulation","Mini Metro","Dinosaur Polo Club","$0.99","","2019-12-23","22054","https://play.google.com/store/apps/details?id=nz.co.codepoint.minimetro"
"14","-5","Action","Five Nights at Freddy's","Clickteam USA LLC","$2.99","$0.99 - $4.99 per item","2019-09-02","21546","https://play.google.com/store/apps/details?id=com.scottgames.fivenightsatfreddys"
"15","-3","Maps & Navigations","Navigation Pro: Google Maps Navi on Samsung Watch","Smartwatch Studios","$2.99","","2020-07-12","21461","https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation"
"16","+5","Education","SkyView® Explore the Universe","Terminal Eleven","$1.99","","2019-12-03","18634","https://play.google.com/store/apps/details?id=com.t11.skyview"
"17","-6","Sports","NBA 2K19","2K, Inc.","$7.99","$0.99 - $49.99 per item","2019-03-07","16673","https://play.google.com/store/apps/details?id=com.t2ksports.nba2k19and"
"18","new","Action","DOOM","Bethesda Softworks LLC","$4.99","","2020-06-01","16596","https://play.google.com/store/apps/details?id=com.bethsoft.DOOM"
